,Country Name,Country Code,Year,GDP (current US$),GDP growth (annual %),"GNI, Atlas method (current US$)",Gross capital formation (% of GDP),High-technology exports (% of manufactured exports),"Immunization, measles (% of children ages 12-23 months)",Income share held by lowest 20%,"Industry (including construction), value added (% of GDP)","Inflation, GDP deflator (annual %)","Life expectancy at birth, total (years)",Population growth (annual %),Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population),"School enrollment, primary and secondary (gross), gender parity index (GPI)","Total debt service (% of exports of goods, services and primary income)",income,gdp_growth,inequality,inflation,life_exp,poverty,school_enroll,income_num,gdp_growth_num,inequality_num,inflation_num,life_exp_num,poverty_num,school_enroll_num
1233,Kenya,KEN,2018,92202979985.2863,5.64794640709219,86589036361.0521,19.3759862497025,3.61296275113367,92.0,,17.313146131064,4.21502841459056,62.825,2.03083744189606,,,,23.6995062707777,medium,very high,,medium,very low,,,2.0,4.0,1.0,2.0,0.0,2.0,2.0
1234,Kenya,KEN,2019,100378436207.371,5.11415885767801,96154458897.4586,19.3418324204191,4.59327769222193,92.0,,16.9305452274709,4.2752342393575,62.939,1.96381549826771,,,,38.427302443419,medium,high,,medium,very low,,,2.0,3.0,1.0,2.0,0.0,2.0,2.0
1235,Kenya,KEN,2020,100657505750.545,-0.272766327438816,99712048015.3376,19.6515841707054,5.11178261072947,89.0,7.3,17.4002876322786,4.94885283291357,61.596,1.96197633664853,44.4,42.9,,24.2889288609468,medium,very low,medium,low,very low,very low,,2.0,0.0,2.0,1.0,0.0,0.0,2.0
1236,Kenya,KEN,2021,109703658904.994,7.59048947333467,110339108512.713,20.3912447822361,3.12736061396888,90.0,7.2,17.1524357767952,4.3307475585662,61.225,1.90040858948898,46.4,38.6,,16.7806362225923,medium,very high,medium,low,very low,very low,,2.0,4.0,2.0,1.0,0.0,0.0,2.0
1237,Kenya,KEN,2022,114448978152.637,4.85998104287999,117689640763.894,19.0540638513609,2.26073811025712,89.0,7.2,17.5274480968435,6.95705445631218,63.549,1.92297608206469,46.9,39.8,,18.1305777110906,medium,high,medium,low,very low,very low,,2.0,3.0,2.0,1.0,0.0,0.0,2.0
1238,Kenya,KEN,2023,107500884685.013,5.71999241214208,116894402470.054,16.5707504717762,3.04169416728318,91.0,,17.1222148239844,5.41580564449526,63.646,1.98296028478422,,,,21.1131036239564,medium,very high,,low,very low,,,2.0,4.0,1.0,1.0,0.0,2.0,2.0
1239,Kenya,KEN,2024,120339557905.932,4.72473994710138,117782856944.133,16.7771560971022,3.15003013612034,88.0,,16.4676669412723,3.05241235537947,,1.95751431565234,,,,27.2238636965006,medium,high,,medium,,,,2.0,3.0,1.0,2.0,2.0,2.0,2.0
1240,Kiribati,KIR,2015,191559398.688293,11.2653312371772,408162783.789947,37.7690621840532,1.38260121963875,84.0,,14.7267735467294,3.13925041295022,65.831,1.28285862528713,,,,,very low,very high,,medium,low,,,0.0,4.0,1.5,2.0,1.0,1.0,3.0
1241,Kiribati,KIR,2016,206467818.503227,7.08802960050427,354819096.503703,29.9666237865772,2.75950742368185,80.0,,14.6506389824021,1.71662321745593,65.799,1.41358025249878,,,,,very low,very high,,high,low,,,0.0,4.0,1.5,3.0,1.0,1.0,3.0
1242,Kiribati,KIR,2017,222875736.343445,3.74913001948165,376529559.278927,27.0208391705472,3.42147403472058,81.0,,12.4167579233588,0.917050313444378,65.787,1.50534982546091,,,,,very low,medium,,very high,low,,,0.0,2.0,1.5,4.0,1.0,1.0,3.0
